Tweet_Text,Actual_Urgency,Predicted_Urgency
rt a tsunami has been generated the first wave has arrived in the north eastern coast of the south island eqnz,Low,Medium
rt bnz harbour quay building closed again no one to enter until structurally accessed eqnz,Low,Medium
wildfire update fire type downgraded foxinfocusca,Medium,Low
about 15 million mostly in florida without power in irmas wake,Medium,Low
many of us have lost our homes but our spirit is brighter than ever sun is finally shining across southeast tx after the wrath of harvey,Medium,Low
come 6m tomorrow i will be checking in at my workplace and then will be set out to a local shelter for those in need due to irma,High,Low
rt are there supposed to be tsunami sirens sounding in lyall bay eqnz,Low,Medium
rt is coordinating power restoration efforts in the us virgin islands amp puerto rico following hurricanemaria,Low,Medium
rt 15 days since 1st prediction that maria would hit puertorico plenty of warning lack of aid inexcusable sanjuan http,Low,Medium
srilanka lka floodsl please help,High,Low
californiawildfires carr fire kills 2 in n california as evacuations are ordered the people of that state are also struggling with catastrophic wildfires we in athens sympathize with them my thoughts amp prayers are with them as well athensfires,Low,High
usanews hurricane irma causes damage across the caribbean video,Low,Medium
before making landfall in florida irma left a path of destruction across the caribbean reports mon0018,Low,Medium
maryland hit by catastrophic flash flooding second time in two years via,Medium,Low
be ready for hurricane harvey dont be caught off guard make your emergency plan today hurricaneharvey,Medium,Low
rt if youre in bed during a quake stay there hold on and protect your head with a pillow eqnz,Medium,Low
just confirmed w athol experienced a 17 magnitude earthquake about 50 km depth around 810pm no damage or injuries,Low,Medium
rt i told abraham to take me to get my nails done in a middle of a tornado warning amp this happened ἲa ops,Low,Medium
checked as well with my sister in rusape its raining but calmly as well we pray there is no further damage,Low,Medium
anyone else in christchurch hearing this siren been going on for about 10 minutes cant tell if car alarm or emergency siren eqnz,Medium,Low
rt all is well here nothing is flooded at my place and tornado watch is over in 30 minutes,Low,Medium
the impacts of climatechange will cost hundreds of billions to trillions of dollars and were seeing them now but the worst impacts will be in the poorest regions without the infrastructure amp emergency response capabilities of the rich this is climate injustice,Low,Medium
please pray for the parents 88 dead people so far athens fire 9yearold twins missing in athens fires confirmed dead late friday keep talking greece,Low,High
cycloneidai i have no control over deaths i have no control over flooding i have no control over broken bridges i have no control over destroyed homes but i can help those in need of clothing i can plead with others to join hands together we can make a difference,Low,High
can anyone help people need boat rescue in attic info from khou11 texas harvey,High,Low
air national guard arrive in puerto rico after hurricanemaria millions are struggling wo electricity water food and medical supplies,Low,High
the distribution of food and water in puerto rico is painfully slow eight days after hurricane maria pres trump,High,Low
hi renée my country is in pain an earthquake destroyed cities please help me share this campaign for donations,High,Low
seeking volunteers to cleanup damage caused by hurricaneirma,Low,Medium
the biggest hurricane the largest damage,Low,Medium
millionaire lets 70 foster children stay in mansion full of arcade games to shelter from hurricane irma,High,Low
irmas impacts so far millions without power in florida 28 dead in the caribbean climate,Medium,High
rt help my aunt and uncle theyve got nothing hurricanemaria hurricaneirma helppuertorico help,High,Low
trapped on a damaged boat during irma davis recalls being saved by good samaritans his story tonight at 11,Medium,Low
these good people are in urgent need of our help people are suffering gasoline is in short supply also they are american citizens no,Low,High
tragedy in greece as wildfires kill dozens pray 1 for the people affected 2 for climate action on behalf of our children,High,Low
rt civil defence warns that first tsunami wave may not be the biggest waves could continue to occur for next few hours,Low,Medium
make sure you fill up and keep a full tank cause evacuation time,Medium,High
i have the biggest and best floods also stop saying its going well people are trapped in their attics and cant get thru to 911,Medium,Low
when the tornado was literally less than 5 miles away from your house but too busy playing card against humanity,Low,Medium
the catastrophic hurricaneharvey flood waters has washed away many homes in the gulfton area,Low,Medium
not content to just inflict long term healthcare damage to americans trump watches 35m more of us waste away in while he does nothing,Low,Medium
attn help needed in puertorico please consider buying an item from the amazon list link below and help a hurricanemaria survivor you can spend as little or as much as you can spare there are items in all prices ranges we did this for harvey so lets do it again resist,Low,High
volunteers are key to recovery say experts as damage to houston from hurricane harvey mounts,Low,Medium
rt financial aid is coming for those displaced by the ymmfire the latest in our story here,Low,High
repro healthcare is crucial in times of disaster ie hurricane harvey amp recent floods in india nepal bangladesh,Low,Medium
my latest indonesia floods subsidence infrastructure jakarta,Low,Medium
long rows of freezers with damaged foods life after irma irmacleanup,Low,Medium
seddon if you have lost or found a pet in or near seddon please contact seddon information centre eqnz,Low,Medium
flooded plains houses and roads are the lot of the cap haitien population following rains brought by hurricanemaria,Low,Medium
nfl this is far more important right now pr amp vi communications status areas impacted by hurricane maria,Medium,Low
rt idai cyclone damage in mozambique we declare peace be still in southern african region in jesuss name amen,Low,Medium
more than 159 earthquake victimsfor the moment these numbers make me crying im really sad ὢ2prayforitaly e9,High,Low
very strong 77m quake in ecuador no damaging tsunami threat to hawaii hawaii 247 press release,Low,Medium
please read if you wish to help animals in need of help after hurricaneharvey helpforhouston houstonstong houstonflood please rt ty,Low,High
man who killed maryam rashidi in 2015 gasanddash gets 11 years in prison metro article on hurricane,Low,High
just in 62 magnitude strong earthquake strikes central mexico share amp rt,Low,Medium
rt josh would you pls share this to help,Low,High
more than 79 people have lost their life following the deadly fires in attica on monday night heres a list of ways you can help prayforgreece prayforathens supportgreece fires mati rafina greecefires kineta,High,Low
more than 1 million people have been displaced by hurricaneharvey support search and rescue recovery efforts,High,Low
ksc will remain closed on thurs sept 14 missionessential personnel continue damage assessment and recovery hurricaneirma,Low,Medium
watch an aerial view of hurricane irmas destruction in st thomas nationalist,Low,Medium
hurricane irma went over this island amp they couldnt record the exact wind speed cus gusts of 225mph destroyed all the weather equipment,Low,Medium
idk how to feeli feel blessed 4 the help we have gotten from all the world due the earthquake in mexicobut puerto rico needs attention too,Low,High
uscg this coast guard helicopter crew from air station clearwater evacuated 67 people today during hurricaneharvey relief operations,High,Low
just seen the office security video footage when the eqnz hit we have an atrium between 2 buildings the movement was incredible 12,Low,Medium
puerto rico still needs our help please donate what you can hurricanemaria puertoricorelief pray,High,Low
rt tsunami sighted eqnz,Low,Medium
do you have advice for repairing flood damage please share for the ppl of houston amp elsewhere via,Low,Medium
rt trump has his own katrina now please give to help puerto rico,High,Low
retweeted ana ramona we need help taking donations from miami fl to ecuador,Low,High
irma update nothing good more than half of puerto rico loses power leaving 900000 in the dark and nearly 50000 without water,Medium,Low
beira mayor states main needs as food water sanitation and zinc roofing sheets to replace those blown off so many houses which agencies are providing these things cycloneidai,High,Low
the storm could dump up to 10 inches of rain cause landslides and flash floods and generate waves up to 23 feet,Low,Medium
bulletin tributes paid to irishman confirmed dead in greece wildfire increased pressure on gaa to host liam miller match,Low,High
in the name of jesus christ lord god we ask that you take care of this horrible ruins from this hurricane they need your help we love you,High,Low
rt puerto rico is without power and low on supplies trump puertorico hurricanemaria,Medium,Low
look at mr competent nepotist hell have his day not apologizing for mismanagement too so hungry for power hes bound to get people killed,Low,High
hurricanematthew evacuations in south carolina state of emergency in georgia bridge collapse in haiti matthew,High,Medium
good writing on this complex issue fire is needed to ease fire damage,Low,Medium
photos taken from above show the extent of flooding in houston complete harvey coverage,Low,Medium
floods bring with them the potential of illnesses spreading but precautions can be taken floodsl,Medium,Low
rt reports that hurricane killed hundreds of strays on puerto ricos dead dog beach arent true rescue group says,Low,High
omg pay attention people hillary hates everyone of us she wants us all dead,Low,High
rt please give anything you can to puerto rico here are great ways to help,High,Low
wheels down and straight to workour team with in tortola needs are huge please help us help them irma,Low,High
to search for open shelters text shelter amp your zip code to 43362 4fema for example shelter 32789 hurricaneirma fl07,High,Low
help needed irma victims facing homelessness irmarecovery saturdaymorning,High,Low
in fl dealing w aftermath of hurricaneirma and need fleece or cotton blankets pls sharedonate,Low,High
we need soldiers in puerto rico to secure the streets amd drive trucks to get goods out please help hurricanemaria,High,Low
from redcross donated items are good but monetary donations and volunteers are needed more hurricaneharvey,High,Low
last night 78 magnitude earthquake eqnz was terrifying alhamdulillah no one was hurt even,Low,Medium
rip to those who died in the ecuador earthquake praying for those in the area to stay safe ὤfἷccἷbcἷd,Low,High
amazingamp thank you they need all the fosters they can get please go to to sign up they have harvey instructions,Low,High
thanks to for their coverage on the puertorico emergency crisis after hurricanemaria,Low,Medium
as of 9am harvey is still a cat 1 hurricane with 75mph winds flooding is now the main concern,Medium,Low
this hospital in southwestern haiti needs help the hurricane destroyed their only bridge out of the area,Medium,High
really emmerdale farm what kind of state broadcaster are u tsunami wrning 4 the whole east coast amp bloody emmerdale farm eqnz,Low,Medium
harvey flood waters become increasingly contaminated dont walk or drive in them unless extreme emergency dont allow kids to play in h20,Medium,Low
tropical storm harvey update 11am edt winds 45mph moving ese at 3 radar wx flooding,Low,Medium
not exactly the smartest place to set up camera in the middle of an emergency cordon ffs outside nec building eqnz,Low,Medium
the church needs to be present in cycloneidai affected areas people are traumatized both survivors amp rescuers and they need counselling amp prayer,High,Low
storm hitting haiti now care teams on the ground ready to help most vulnerable haitians hurricaneirma emergency,Medium,Low
abcnews reports how do you prepare for a hurricane if you cant evacuate heres what you need in your emergency s,Medium,High
please help keep the pressure the hundreds of thousands of puerto rican soldiers who served incl my late dad deserve better,High,Low
storm babies despite damage irma brings the gift of life via,Low,Medium
health camps continue in rural srilanka where floods devastated regions in order to avert another crisis lka srilanka zhongtian,Low,High
my beautiful greece is burning thousands of acres more than 50 dead hundreds injured thousands of homes lost people of the world send help greecefires prayforgreece been in tears all fucking day,Low,High
our business programs can help provide financial relief for damages to small businesses as a result of harvey,Medium,Low
rt rising flood levels threaten mozambique disaster relief effort,Medium,Low
everybody was affected there is nowhere to go scenes of destruction in haiti after hurricane matthew,Low,Medium
where are all the movie stars that help everybody in the world with catastropheswhere are they could you please help these people,High,Low
stranded in st maarten toronto medical student searches for food water after hurricane irma family says cbcca,Low,High
glad to hear this now since all aid for us virgin islands must go through pr will they be helped also,High,Low
alberto lingers amid maryland floods and record highs in midwest gpwx,Low,High
glass panels plummet from 85story miami building after irma hits,Medium,Low
wasnt flooding maryland enoughᾓ7ἷb,Low,Medium
powerful interview from san juan pr mayor on humanitarian medical environ toll of hurricanemaria puertorico,Low,High
in 2017 cyclone dineo left trail of destruction in mst parts of mat north amp south provinces particularly tsholotshobulilimamangwenkayi ampparts of matobomemories still fresh in minds of many zimbabweans of dineo amp eline induced floodsdisaster preparedness is key cycloneidai,Low,Medium
amnesty international rt amnestyusa staffpick resources for refugees in the wake of hurricane harvey thanks t,High,Low
hurricaneirmas vast destruction in caribbean building by building stmartin sintmaarten anguilla barbuda,Low,Medium
tropical storm irma forms on heels of hurricane harvey via,Low,Medium
latest florida power amp light official says about 15 of its customers remain without power following irma,Low,Medium
rt prepare for the worst hope for the best sandbags can prevent flooding into your home if hurricaneirma comes to cfl,Medium,Low
remind me again why wont open his church to the countless of people in need of help after hurricaneharvey what a great guy,Low,High
puerto rico and virgin islands dont assume irma will miss you prepare for lifethreatening winds storm surge raininduced flooding,Low,Medium
guys help buy these shirts to support those affected by hurricane harvey,High,Low
rt hurricanemaria has created a dire situation for our brotherssisters in puertorico please help however you can http,High,Low
in times of crisis like hurricane harvey cans and delivers emergency drinking water,Low,Medium
incredible a time lapse video shows the flooding from hurricane harvey at an apartment complex in houston tx,Medium,Low
a house sits completely submerged in flood water in the wake of hurricane harvey in houston texas,Medium,Low
access and watch the public assistance damage assessment video at harvey houstonflood texasflood jitdt,Low,Medium
fema expects a mass care mission as damage from harvey continues in texas at least five are dead,High,Medium
when your name becomes a hurricane do you hope it stays strong and leaves a mark or fizzles out before doing a lot of damage,Low,Medium
hurricanes tornadoes thunder storms help kids cope hurricaneirma hurricaneharvey hurricanemaria,Medium,Low
i pray that nobody else receives the flooding and damage we received,Low,Medium
this is interstate 10not the gulf one thing to note we cant just focus on houston as floods continue into western la,Medium,Low
39yearold eddison hermond of severn maryland was last seen trying to help a woman rescue her cat behind a restaurant while churning brown waters ripped through ellicott citys floodprone downtown,Low,High
rt dominicans stand on the front lines of a war they did not start pm roosevelt skerritt speaking at unga on destruction,Medium,Low
please help us we are told fema has to fix road guess what you never fixed it from matthew help,Low,High
news american l listen locals describe hurricane marias damage in dominica via,Low,Medium
severe street flooding up to knees on w 24th bt yaleshepherd hurricaneharvey,Low,Medium
not sure if i slept thru aftershocks between 46am or if theyre just starting up again in wellington eqnz,Low,Medium
please help our vega family rebuild after hurricane maria destroyed,High,Medium
near collapse perhaps thats the white houses way of acknowledging the earthquake gawd i hate this administration,Low,Medium
22000 packed into shelters in lee county florida ahead of hurricane irma,High,Low
icymi the extra threat lurking in harveys already devastating flood waters,Low,Medium
rt sec kerry offers condolences assistance to ecuador following quake thats killed over 200,Low,High
as you head to bed tonight keep turksandcaicos in your thoughtsprayers getting the worst of irma right now damage likely to be massive,Low,Medium
people amp pets coming into contact with floodwaters should thoroughly wash amp rinse any exposed body parts w soap amp disinfected water irma,Low,High
our crews are hard at work in florida helping to restore power to the 2 million residents still without electricity due to hurricaneirma,Medium,Low
weve got a long road to recovery in the keys,Medium,Low
trump attacking san juan mayor but takes no responsibility for his role in the deaths of americans in pr so typical,Low,High
boca raton couple opens their home to more than 70 foster kids displaced by hurricane irma,Low,High
harvey harvey2017 harveyrelief harveyflood dont just pray for people help them life is not all about you faith wo works is dead,Low,High
unfortunately maria is headed toward these same islands including the virgin islands tuesdaywednesday to be watched closely how sad,Medium,Low
harvey to our west that is not blue sky tornado touched down north of us,Low,Medium
when shelters no longer shelter heartbreaking harvey,Low,High
earthquake here in newzealand has caused 2 deaths amp a massive amount of damage but could have been so worse aftershocks still going eqnz,High,Medium
harvey is flooding out homes everywhere around us right now its ready for 3rd onslaughbe safe be smart have insurance handy,Medium,Low
in stormravaged puerto rico drinking water in short supply by reuters via nyt,Medium,Low
rt 7 in pictures greeces deadly wildfires,High,Low
worst florida damage from irma is expected to come from storm surge what experts are saying irmahurricane2017,Low,Medium
9000 this is why influencers and well known people need to use their voice to help people,Low,High
residents in miami working hard to protect their homes from hurricaneirma there is still time to put up shutters or thick plywood,Medium,Low
here are local ministries offering shelter from hurricaneharvey who need your support,Low,High
people have died lost everything they own and you had a rally amp praised the crowd size resign theresistance,Low,High
supermarkets having to throw away food because there is no power for refrigeration puertorico hurricanemaria,Low,Medium
rt personnel still operating in areas worst affected by last mondays 78 magnitude earthquake,Low,Medium
it was only part of tx hit tropical storm by then the flooding was houston amp because of not evac post maria pr was largely flatted,Low,Medium
affected by harvey and need help want to help please let us know by filling out a contact form,Low,High
rt breaking new sizeable earthquake just about 300mi sse of mexico city prelim mag 62,Medium,Low
girl pulled from rubble as italy earthquake toll hits 252 amatrice italyearthquake italyquake,High,Low
is sad ὢd butit would be really important if you guys say the same for my country ecuador we had an earthquake of 78 200died,High,Low
these heros in this video need recognized please retweet hurricaneharvey,Low,High
houston may be getting all the attention but severe flooding in beaumontport arthur with a harvey storm total approaching 35 inches,Low,Medium
cycloneidai struck eastern zimbabwe at the weekend with thousands affected by flooding and landslides mercy corps is working urgently to reach communities with food clean water sanitation and hygiene supplies find out how you can help,Low,High
perspective to hurricaneharvey damage impact rescue efforts houston is the nations 4th largest city,Low,Medium
rt 3214 homes destroyed in haiti by hurricane matthew 350000 estimated to need some kind of assistance 10 people killed,Medium,High
maybe you need a visual aid hurricanemaria strongest storm to hit uspuertorico in nearly 90 yrs,Low,High
can i have some shelter there i alrady lost my home in mexicos earthquake,High,Low
quite a day at the office two countries hurricane destruction grim times for an already struggling haiti,Low,Medium
jsj issues areal flood advisory for saint croix vi till sep 15 500 pm ast weather,Medium,Low
so while puerto rico always imports 85 of their food needs decides 2 use sensationalism 2 focus on 15,Low,High
another late night another wildfire people need to be smart about their camp fires while fire danger is high,Medium,Low
rt breaking preliminary information indicates a 63 magnitude earthquake has struck central new zealand,Low,Medium
rt 35 million puerto ricans who are also us citizens need our help what is the plan does trump have one hurricanemaria,Low,High
and will be distributed by the community leaders of vieques means piled up somewhere not delivered to people in need,High,Low
harvey will be trumps first domestic emergency fun reminder his administration lost track of a us aircraft carrier for over a week,Low,Medium
rt hurricane maria has brought widespread damage to dominica there are reports of 7 fatalities as details of the destruction,High,Medium
engineers and reserve officer training corps cadets are cleaning and repairing floodsl damaged schools in the kalutara district,Low,Medium
agreed but there are also huge public health implications involved with spreading pesticides that will end up in flood water,Low,Medium
dstrrescueneeded do you need mortgage help after hurricane,Low,High
as flood waters recede mountains of debris pile up in texas,Low,Medium
rt non ci sono paroleὁ4 che tristezzaὢd send a text to 45500 to donate 2e9 please spread the wordὤf prayforitaly,High,Low
tired after being woken in the middle of the night but safe no damage except to our sleep eqnz earthquake,Low,Medium
thank you usar team now back at base after working day and night searching a collapsed building from mexicoearthquake,Low,Medium
thanks to irma some big old trees fell down and our powers been out all day after walking,Medium,Low
hurricane harvey help uhd students w school supplies lost via,Low,High
zimbabwes cricketers have joined the response to the devastation of cyclone idai which ravaged eastern zimbabwe mozambique and malawi last week causing widespread damage,Low,Medium
icymi listen to how a woman now in brooklyn describes the destruction she saw irma bring while in the caribbean,Low,Medium
rt is transporting a portable field hospital to ecuador to help treat the many injured please pray h,Low,High
tropical storm maria brought the ocean water all the way up against the dunes overnight but its already receded just 30 50mph winds now,Low,Medium
orange juice and cotton futures sink as irmas damage appears less than feared,Low,Medium
in 1900 there was a hurricane that was just as powerful as irma and killed thousands dont think it was climate change 117 years ago,High,Low
some clown was letting off fireworks last night in the hutt during the tsunami alert ἰ7ἰ6eqnz,Low,Medium
prisoners at mutimurefu also victims of cycloneidai as the winds blew off the roofs of four cells at the prison,Medium,Low
rt apparently sent a reporter to the waterfront during a tsunami warning journalism doesnt pay enough for this,Low,Medium
fort bend county map of road closures do not drive through flooded roads harvey houwx txwx,Low,Medium
nice i was reading hurricane harvey destroyed 500000 cars and pickups irma may have destroyed more than a 1million,Low,Medium
we are deeply saddened by the loss of more than 50 people in the forest fires in the eastern attica region of greece we extend our deepest condolences to the greek people and greek government our prayers and thoughts are with the families affected from the fire,High,Low
shakey shake my apartment building in welly is still swaying eqnz,Medium,Low
hopes you adopt shelter pets to make room for hurricaneharvey rescues share the love retweet,High,Low
maybe armchair critics like can appreciate what the real situation on the ground is like in mounting rescue operations within the affected areas mountainous areas like chimanimani chipinge vumba nyanga etc are no stroll in the park,Medium,Low
latest severe 57 magnitude earthquake hits canterbury eqnz,Low,Medium
help us make a difference and giveback to our community tuesdaythoughts florida ucf hurricaneirma,High,Low
can you imagine an entire us state without power,Low,Medium
while potus carries on his tantrum puertorico has been decimated by maria and remains in dire need of resources and assistance,Low,High
the latest maria 9 days a hurricane now a tropical storm today,Low,Medium
the threat of flooding continues dont be a statistic be a survivor friendly reminder turn around dont drown harvey txwx lawx,Low,Medium
can you share harvey victims should call fema 8006213362 and to find free legal help in tx call 8005047030 in la call 8003107029,High,Low
assessing the damage and relief efforts after hurricanemaria with rear admiral peter j brown district commander,Medium,Low
catastrophic flooding swept through a maryland community that had been hard hit by historic floods two years ago,Low,Medium
rt loveforlovecity in the usvi maria drowned what irma didnt destroy donate,Medium,Low
city of riviera beach determined the buildings were unsafe after hurricane irma blew off the south side wall of the building,Low,Medium
millions of homes and businesses are at risk from a wall of seawater when hurricane irma strikes florida,Low,Medium
rt can yall help save some peoples lives puertorico too hot too little food no power,Low,High
what is your plan to help these us citizens they are desperate cricketsfromthepresident prayforpuertorico,Low,High
hurricaneharveys heavy rainfall is a grave threat for texas amp coastal cotton farmers ct_f,Medium,Low
we should help puerto ricans not because they are us citizens but simply because they are people in need hurricanemaria,Low,High
the latest ocean washes under outer banks waterfront homes hurricanes hurricane maria climatechange,Medium,Low
wheels uppresident trump ampflotus head to florida to evaluate damageamp recovery efforts from hurricane irmagod bless our potusampflotus,Medium,Low
he was signing words pizza and monster when referencing irma evacuations,Low,High
were in desperate need of a fence company and donations to repair damage from irma donations are taxdeductible,High,Low
airbnb offers hurricane harvey evacuees free shelter,Low,High
rt many animals rescued today but many are dead with their owners italyearthquake,Low,High
rt hurricane maria now exiting puerto rico but leaving a trail of destruction on the island,Low,Medium
rt aint nobody ask me to help anybody joel osteen,Low,High
rt tsunami waves now up to 1 metre in christchurch low lying coastal areas should evacuate eqnz,High,Medium
finally heard a report on fox news that only 1 in 6 have flood insurance hazard insurance will not cover flood damage hurricaneharvey,Low,Medium
irmarecovery irma syrian refugees respond to hurricane by cooking feasts for displaced victims,Low,High
texas faces catastrophic and lifethreatening flooding as tropical storm harvey lingers over houston 7reuters,Low,Medium
downtown jacksonville amp saintaugustine flooded from hurricaneirma irma 60 of florida without power irma2017,Low,Medium
i condole and pass my message of encouragement to the victims of cyclone idai in zimbabwe and mozambique an injury to one is an injury all,Low,High
foxnews nwstornado issues tornado watch for parts of florida as hurricaneirma inches closer,Low,Medium
italyearthquake we lost people lives and many historic buildings and amazing art of 1200 1400,High,Low
premier notley to survey fort mcmurray wildfire damage fire growth slows via what a joke,Low,Medium
3f6a royal dispatches hmas darwin to assist in nzearthquake evacuations amp recovery effort nzquake nzeq eqnz drr,Low,High
kathimerini newspaper posts civil protection depts list of 92 fire fatalities includes victims from belgium poland and ireland greece greecefires,High,Low
puerto rican usmc veteran hazel diaz is calling on to take action to help americans in need after hurricane maria whataboutpr,Low,High
im proud of for lending one of their cruise ships to assist with picking up evacuees who have been stranded without basic necessities since hurricane maria i had a less than good opinion about you before and now thats changed thanks for the help,Low,High
rosie perez blames hurricane marias destruction of puerto rico on pres trump maga deplorables donaldtrump,Low,Medium
apparently hurricane irma has been downgraded to a tropical storm why didnt they do this earlier would have stopped all that damage,Low,Medium
rt ecuador declares national emergency after scores killed in huge quake,Medium,High
at least 74 people have died in greeces worst fire disaster in more than a decade tonight well hear from the front line of the relief effort with the mayor of athens giorgios kaminis and red cross volunteer olga monahou 2230 newsnight,High,Low
